Tensão (V),r1_médio (mm),σ_r1 (mm),r2_médio (mm),σ_r2 (mm),λ_exp (pm),σ_λ (pm),λ_teórico (pm),Diff. Rel. (%)
3000.000000,12.409375,0.664999,20.831250,0.709909,20.821763,0.706054,22.390898,7.007917
3200.000000,11.365625,0.420917,20.062500,0.639539,19.554263,0.525893,21.679894,9.804621
3400.000000,12.131250,0.228360,19.315625,0.996836,19.839112,0.573461,21.032586,5.674404
3600.000000,11.465625,0.313680,20.196875,0.341884,19.705575,0.386557,20.440000,3.593077
3800.000000,10.890625,0.260177,19.075000,0.681890,18.663712,0.454180,19.894835,6.188152
4000.000000,11.565625,0.302523,19.528125,0.337939,19.461750,0.377582,19.391087,0.364412
4200.000000,10.031250,0.387651,18.268750,0.200877,17.534850,0.397785,18.923763,7.339517
4400.000000,9.743750,0.387315,17.959375,0.265723,17.137687,0.404496,18.488676,7.307112
4600.000000,10.003125,0.232142,17.468750,0.374878,17.117288,0.332629,18.082282,5.336683
4800.000000,9.509375,0.235594,17.300000,0.369825,16.613587,0.329771,17.701559,6.146192
5000.000000,9.065625,0.309543,17.103125,0.265183,16.138650,0.346375,17.343915,6.949210
